City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,24.0,87,100,0.67,US,1688946834
1,olonkinbyen,70.9221,-8.7187,2.56,96,100,10.38,SJ,1688946834
2,waitangi,-43.9535,-176.5597,11.01,88,99,5.36,NZ,1688946835
3,pokrovsk,48.282,37.1758,15.39,87,100,6.11,UA,1688946835
4,ketchikan,55.3422,-131.6461,18.26,68,20,6.17,US,1688946296
5,port-aux-francais,-49.35,70.2167,2.27,64,92,10.44,TF,1688946836
6,acarau,-2.8856,-40.12,26.1,79,22,7.38,BR,1688946836
7,edinburgh of the seven seas,-37.0676,-12.3116,15.57,80,100,10.74,SH,1688946836
8,anadyr,64.75,177.4833,18.28,45,20,3.0,RU,1688946836
9,igabi,10.7889,7.7749,20.9,94,83,1.97,NG,1688946837
10,port mathurin,-19.6833,63.4167,23.52,63,29,10.31,MU,1688946838
11,khandyga,62.6667,135.6,17.63,34,60,2.64,RU,1688946838
12,adamstown,-25.066,-130.1015,21.51,67,100,5.9,PN,1688946838
13,hermanus,-34.4187,19.2345,7.11,69,68,2.87,ZA,1688946241
14,grytviken,-54.2811,-36.5092,-5.89,82,25,4.14,GS,1688946839
15,puerto ayora,-0.7393,-90.3518,25.86,92,66,2.24,EC,1688946839
16,kerikeri,-35.2268,173.9474,15.51,89,43,1.34,NZ,1688946839
17,posse,-14.0931,-46.3694,20.84,36,16,1.55,BR,1688946839
18,iqaluit,63.7506,-68.5145,5.85,86,75,3.09,CA,1688946541
19,tazovsky,67.4667,78.7,6.95,86,13,4.43,RU,1688946840
20,harrismith,-28.2728,29.1295,-1.08,89,44,1.37,ZA,1688946841
21,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,88,75,3.0,RU,1688946579
22,college,64.8569,-147.8028,25.88,44,0,1.54,US,1688946842
23,ribeira grande,38.5167,-28.7,21.54,94,91,2.24,PT,1688946842
24,ginir,7.1333,40.7,14.6,76,86,2.75,ET,1688946842
25,sisimiut,66.9395,-53.6735,8.36,85,100,1.16,GL,1688946263
26,udachny,66.4167,112.4,23.03,46,6,8.87,RU,1688946843
27,longyearbyen,78.2186,15.6401,7.28,78,49,1.9,SJ,1688946662
28,klyuchi,52.2667,79.1667,17.94,56,75,2.66,RU,1688946844
29,vorgashor,67.5833,63.95,6.34,79,92,3.77,RU,1688946844
30,kapa'a,22.0752,-159.319,27.33,60,85,4.92,US,1688946845
31,west island,-12.1568,96.8225,24.99,69,40,5.14,CC,1688946845
32,sambava,-14.2667,50.1667,22.51,84,84,3.99,MG,1688946845
33,bac lieu,9.285,105.7244,27.87,79,57,2.43,VN,1688946846
34,cabo san lucas,22.8909,-109.9124,32.01,75,26,6.79,MX,1688946846
35,punta arenas,-53.15,-70.9167,2.06,80,0,5.14,CL,1688946209
